"","name","Nationality","treated","margin","pre_post"
"245","GESTION AMBIENTAL DE NAVARRA SA.","ES",1,-40.295,0
"246","GESTION AMBIENTAL DE NAVARRA SA.","ES",1,0.847,1
"247","GRUPO GARNICA PLYWOOD SAU","ES",1,-1.098,0
"248","GRUPO GARNICA PLYWOOD SAU","ES",1,7.268,1
"249","GRUPO LINCE ASPRONA SL","ES",1,1.955,0
"250","GRUPO LINCE ASPRONA SL","ES",1,9.268,1
"251","HUERTA VALLE HIBRI2 SL","ES",1,10.94,0
"252","HUERTA VALLE HIBRI2 SL","ES",1,23.128,1
"253","INDUSTRIAS DAVID SL","ES",1,14.146,0
"254","INDUSTRIAS DAVID SL","ES",1,19.534,1
"255","INNOVACION Y CONSULTING TECNOLOGICO DE LEVANTE SL","ES",1,0.592,0
"256","INNOVACION Y CONSULTING TECNOLOGICO DE LEVANTE SL","ES",1,10.27,1
"257","JEMA ENERGY SA","ES",1,0.238,0
"258","JEMA ENERGY SA","ES",1,6.731,1
"259","KONGSBERG MARITIME SPAIN SL.","ES",1,8.939,0
"260","KONGSBERG MARITIME SPAIN SL.","ES",1,8.29,1
"261","KOSHKIL SYSTEMS SL","ES",1,17.07,0
"262","KOSHKIL SYSTEMS SL","ES",1,23.706,1
"263","METROHM DROPSENS SL.","ES",1,12.365,0
"264","METROHM DROPSENS SL.","ES",1,27.853,1
"265","NORMAGRUP TECHNOLOGY SA.","ES",1,17.004,0
"266","NORMAGRUP TECHNOLOGY SA.","ES",1,11.149,1
"267","NUNSYS SA","ES",1,0.968,0
"268","NUNSYS SA","ES",1,2.313,1
"269","OPUS RS EUROPE SL.","ES",1,NA,0
"270","OPUS RS EUROPE SL.","ES",1,-11.186,1
"271","ORONA S.COOP.","ES",1,11.09,0
"272","ORONA S.COOP.","ES",1,9.506,1
"273","OUTCOMES'10 SL.","ES",1,1.619,0
"274","OUTCOMES'10 SL.","ES",1,4.837,1
"275","OXIDINE WATER TECHNOLOGY SL.","ES",1,2.014,0
"276","OXIDINE WATER TECHNOLOGY SL.","ES",1,4.209,1
"277","PREZERO SERVICIOS URBANOS DE MURCIA SA.","ES",1,3.16,0
"278","PREZERO SERVICIOS URBANOS DE MURCIA SA.","ES",1,11.509,1
"279","PRODUMIX SA","ES",1,10.571,0
"280","PRODUMIX SA","ES",1,7.081,1
"281","R N B SL","ES",1,5.412,0
"282","R N B SL","ES",1,4.422,1
"283","SERVEO SERVICIOS SA.","ES",1,4.473,0
"284","SERVEO SERVICIOS SA.","ES",1,4.122,1
"285","SOLTEL IT SOFTWARE SOCIEDAD LIMITADA.","ES",1,3.069,0
"286","SOLTEL IT SOFTWARE SOCIEDAD LIMITADA.","ES",1,9.637,1
"287","SORALUCE S.C.L.","ES",1,2.022,0
"288","SORALUCE S.C.L.","ES",1,4.897,1
"289","SURTEL ELECTRONICA SOCIEDAD LIMITADA","ES",1,3.111,0
"290","SURTEL ELECTRONICA SOCIEDAD LIMITADA","ES",1,3.495,1
"291","SYSTEM-ON-CHIP ENGINEERING SOCIEDAD LIMITADA.","ES",1,15.197,0
"292","SYSTEM-ON-CHIP ENGINEERING SOCIEDAD LIMITADA.","ES",1,33.773,1
"293","TECNICAS PARA LA RESTAURACION Y CONSTRUCCIONES SA","ES",1,2.148,0
"294","TECNICAS PARA LA RESTAURACION Y CONSTRUCCIONES SA","ES",1,2.536,1
"295","TEXTISOL SL","ES",1,2.231,0
"296","TEXTISOL SL","ES",1,2.228,1
"297","THERMOLYMPIC SL","ES",1,0.268,0
"298","THERMOLYMPIC SL","ES",1,8.469,1
"299","TOTAL TERMINAL INTERNATIONAL ALGECIRAS SA","ES",1,7.074,0
"300","TOTAL TERMINAL INTERNATIONAL ALGECIRAS SA","ES",1,8.016,1
"301","UNICA GROUP S.C. ANDALUZA","ES",1,0.019,0
"302","UNICA GROUP S.C. ANDALUZA","ES",1,0.032,1
"303","VALORA PREVENCION SLU","ES",1,2.874,0
"304","VALORA PREVENCION SLU","ES",1,7.597,1
"305","VIDRALA SA","ES",1,9.299,0
"306","VIDRALA SA","ES",1,18.564,1
"307","VIRTUALWARE 2007 SA","ES",1,NA,0
"308","VIRTUALWARE 2007 SA","ES",1,NA,1
"309","VISCOFAN, S.A.","ES",1,20.254,0
"310","VISCOFAN, S.A.","ES",1,17.341,1
"311","WERKHAUS S.L. SOCIEDAD COMANDITARIA SIMPLE","ES",1,NA,0
"312","WERKHAUS S.L. SOCIEDAD COMANDITARIA SIMPLE","ES",1,NA,1
"313","SAMSUNG ELECTRONICS BENELUX B.V.","DE",0,2.075,0
"314","SAMSUNG ELECTRONICS BENELUX B.V.","DE",0,2.45,1
"315","TEAG THUERINGER ENERGIE AG","DE",0,7.026,0
"316","TEAG THUERINGER ENERGIE AG","DE",0,5.498,1
"317","TRIUMPH GROUP INC","DE",0,8.982,0
"318","TRIUMPH GROUP INC","DE",0,-0.815,1
"319","KARL MAYER HOLDING GMBH & CO. KG","DE",0,9.628,0
"320","KARL MAYER HOLDING GMBH & CO. KG","DE",0,-6.572,1
"321","GALAPAGOS NV","DE",0,NA,0
"322","GALAPAGOS NV","DE",0,-55.512,1
"323","KNAPPSCHAFTSKLINIKUM SAAR GMBH","DE",0,0.848,0
"324","KNAPPSCHAFTSKLINIKUM SAAR GMBH","DE",0,2.905,1
"325","KROHNE MESSTECHNIK GMBH","DE",0,5.591,0
"326","KROHNE MESSTECHNIK GMBH","DE",0,5.707,1
"327","BATTISTELLA COMPANY S.R.L.","DE",0,1.139,0
"328","BATTISTELLA COMPANY S.R.L.","DE",0,5.02,1
"329","KITASHIBA ELECTRIC CO.,LTD.","DE",0,3.765,0
"330","KITASHIBA ELECTRIC CO.,LTD.","DE",0,2.881,1
"331","DEUTZ-FAHR MACHINERY CO., LTD.","DE",0,0.053,0
"332","DEUTZ-FAHR MACHINERY CO., LTD.","DE",0,NA,1
"333","THERMO FISHER SCIENTIFIC S.P.A.","DE",0,3.637,0
"334","THERMO FISHER SCIENTIFIC S.P.A.","DE",0,-1.011,1
"335","AZBIL TELSTAR TECHNOLOGIES SLU","DE",0,-7.524,0
"336","AZBIL TELSTAR TECHNOLOGIES SLU","DE",0,0.784,1
"337","SCHLAEGER KUNSTSTOFFTECHNIK GMBH","DE",0,NA,0
"338","SCHLAEGER KUNSTSTOFFTECHNIK GMBH","DE",0,16.102,1
"339","DUMAGAS TRANSPORT SA","DE",0,-10.629,0
"340","DUMAGAS TRANSPORT SA","DE",0,0.589,1
"341","DSF REFRACTORIES & MINERALS LIMITED","DE",0,1.885,0
"342","DSF REFRACTORIES & MINERALS LIMITED","DE",0,4.487,1
"343","JOIN BUSINESS MANAGEMENT CONSULTING S.R.L.","DE",0,68.878,0
"344","JOIN BUSINESS MANAGEMENT CONSULTING S.R.L.","DE",0,58.295,1
"345","AIRBUS OPERATIONS SL","IT",0,5.564,0
"346","AIRBUS OPERATIONS SL","IT",0,9.288,1
"347","AUCMA CO.,LTD.","IT",0,0.501,0
"348","AUCMA CO.,LTD.","IT",0,8.233,1
"349","BONN-NETZ GMBH","IT",0,-2.992,0
"350","BONN-NETZ GMBH","IT",0,9.754,1
"351","BRACCO IMAGING S.P.A.","IT",0,15.957,0
"352","BRACCO IMAGING S.P.A.","IT",0,17.923,1
"353","CONWAY THE CONVENIENCE COMPANY SA","IT",0,1.151,0
"354","CONWAY THE CONVENIENCE COMPANY SA","IT",0,1.208,1
"355","DUERR DENTAL SE","IT",0,17.8,0
"356","DUERR DENTAL SE","IT",0,14.952,1
"357","FERROGLOBE PLC","IT",0,-0.64,0
